quadkey	wkt
24125438	POLYGON ((101.07421875 5.537109375, 101.07421875 5.625, 101.162109375 5.625, 101.162109375 5.537109375, 101.07421875 5.537109375))
24130900	POLYGON ((101.07421875 5.625, 101.07421875 5.712890625, 101.162109375 5.712890625, 101.162109375 5.625, 101.07421875 5.625))
24130901	POLYGON ((101.162109375 5.625, 101.162109375 5.712890625, 101.25 5.712890625, 101.25 5.625, 101.162109375 5.625))
24141824	POLYGON ((101.25 5.625, 101.25 5.712890625, 101.337890625 5.712890625, 101.337890625 5.625, 101.25 5.625))
24130899	POLYGON ((100.986328125 5.712890625, 100.986328125 5.80078125, 101.07421875 5.80078125, 101.07421875 5.712890625, 100.986328125 5.712890625))
24130902	POLYGON ((101.07421875 5.712890625, 101.07421875 5.80078125, 101.162109375 5.80078125, 101.162109375 5.712890625, 101.07421875 5.712890625))
24130903	POLYGON ((101.162109375 5.712890625, 101.162109375 5.80078125, 101.25 5.80078125, 101.25 5.712890625, 101.162109375 5.712890625))
24141826	POLYGON ((101.25 5.712890625, 101.25 5.80078125, 101.337890625 5.80078125, 101.337890625 5.712890625, 101.25 5.712890625))
24141842	POLYGON ((101.6015625 5.712890625, 101.6015625 5.80078125, 101.689453125 5.80078125, 101.689453125 5.712890625, 101.6015625 5.712890625))
24141843	POLYGON ((101.689453125 5.712890625, 101.689453125 5.80078125, 101.77734375 5.80078125, 101.77734375 5.712890625, 101.689453125 5.712890625))
24141846	POLYGON ((101.77734375 5.712890625, 101.77734375 5.80078125, 101.865234375 5.80078125, 101.865234375 5.712890625, 101.77734375 5.712890625))
24141847	POLYGON ((101.865234375 5.712890625, 101.865234375 5.80078125, 101.953125 5.80078125, 101.953125 5.712890625, 101.865234375 5.712890625))
24130904	POLYGON ((100.8984375 5.80078125, 100.8984375 5.888671875, 100.986328125 5.888671875, 100.986328125 5.80078125, 100.8984375 5.80078125))
24130905	POLYGON ((100.986328125 5.80078125, 100.986328125 5.888671875, 101.07421875 5.888671875, 101.07421875 5.80078125, 100.986328125 5.80078125))
24130908	POLYGON ((101.07421875 5.80078125, 101.07421875 5.888671875, 101.162109375 5.888671875, 101.162109375 5.80078125, 101.07421875 5.80078125))
24130909	POLYGON ((101.162109375 5.80078125, 101.162109375 5.888671875, 101.25 5.888671875, 101.25 5.80078125, 101.162109375 5.80078125))
24141832	POLYGON ((101.25 5.80078125, 101.25 5.888671875, 101.337890625 5.888671875, 101.337890625 5.80078125, 101.25 5.80078125))
24141833	POLYGON ((101.337890625 5.80078125, 101.337890625 5.888671875, 101.42578125 5.888671875, 101.42578125 5.80078125, 101.337890625 5.80078125))
24141836	POLYGON ((101.42578125 5.80078125, 101.42578125 5.888671875, 101.513671875 5.888671875, 101.513671875 5.80078125, 101.42578125 5.80078125))
24141848	POLYGON ((101.6015625 5.80078125, 101.6015625 5.888671875, 101.689453125 5.888671875, 101.689453125 5.80078125, 101.6015625 5.80078125))
24141849	POLYGON ((101.689453125 5.80078125, 101.689453125 5.888671875, 101.77734375 5.888671875, 101.77734375 5.80078125, 101.689453125 5.80078125))
24141852	POLYGON ((101.77734375 5.80078125, 101.77734375 5.888671875, 101.865234375 5.888671875, 101.865234375 5.80078125, 101.77734375 5.80078125))
24141853	POLYGON ((101.865234375 5.80078125, 101.865234375 5.888671875, 101.953125 5.888671875, 101.953125 5.80078125, 101.865234375 5.80078125))
24130907	POLYGON ((100.986328125 5.888671875, 100.986328125 5.9765625, 101.07421875 5.9765625, 101.07421875 5.888671875, 100.986328125 5.888671875))
24130910	POLYGON ((101.07421875 5.888671875, 101.07421875 5.9765625, 101.162109375 5.9765625, 101.162109375 5.888671875, 101.07421875 5.888671875))
24130911	POLYGON ((101.162109375 5.888671875, 101.162109375 5.9765625, 101.25 5.9765625, 101.25 5.888671875, 101.162109375 5.888671875))
24141834	POLYGON ((101.25 5.888671875, 101.25 5.9765625, 101.337890625 5.9765625, 101.337890625 5.888671875, 101.25 5.888671875))
24141835	POLYGON ((101.337890625 5.888671875, 101.337890625 5.9765625, 101.42578125 5.9765625, 101.42578125 5.888671875, 101.337890625 5.888671875))
24141838	POLYGON ((101.42578125 5.888671875, 101.42578125 5.9765625, 101.513671875 5.9765625, 101.513671875 5.888671875, 101.42578125 5.888671875))
24141839	POLYGON ((101.513671875 5.888671875, 101.513671875 5.9765625, 101.6015625 5.9765625, 101.6015625 5.888671875, 101.513671875 5.888671875))
24141850	POLYGON ((101.6015625 5.888671875, 101.6015625 5.9765625, 101.689453125 5.9765625, 101.689453125 5.888671875, 101.6015625 5.888671875))
24141851	POLYGON ((101.689453125 5.888671875, 101.689453125 5.9765625, 101.77734375 5.9765625, 101.77734375 5.888671875, 101.689453125 5.888671875))
24141854	POLYGON ((101.77734375 5.888671875, 101.77734375 5.9765625, 101.865234375 5.9765625, 101.865234375 5.888671875, 101.77734375 5.888671875))
24141855	POLYGON ((101.865234375 5.888671875, 101.865234375 5.9765625, 101.953125 5.9765625, 101.953125 5.888671875, 101.865234375 5.888671875))
24130932	POLYGON ((101.07421875 5.9765625, 101.07421875 6.064453125, 101.162109375 6.064453125, 101.162109375 5.9765625, 101.07421875 5.9765625))
24130933	POLYGON ((101.162109375 5.9765625, 101.162109375 6.064453125, 101.25 6.064453125, 101.25 5.9765625, 101.162109375 5.9765625))
24141856	POLYGON ((101.25 5.9765625, 101.25 6.064453125, 101.337890625 6.064453125, 101.337890625 5.9765625, 101.25 5.9765625))
24141857	POLYGON ((101.337890625 5.9765625, 101.337890625 6.064453125, 101.42578125 6.064453125, 101.42578125 5.9765625, 101.337890625 5.9765625))
24141860	POLYGON ((101.42578125 5.9765625, 101.42578125 6.064453125, 101.513671875 6.064453125, 101.513671875 5.9765625, 101.42578125 5.9765625))
24141861	POLYGON ((101.513671875 5.9765625, 101.513671875 6.064453125, 101.6015625 6.064453125, 101.6015625 5.9765625, 101.513671875 5.9765625))
24141872	POLYGON ((101.6015625 5.9765625, 101.6015625 6.064453125, 101.689453125 6.064453125, 101.689453125 5.9765625, 101.6015625 5.9765625))
24141873	POLYGON ((101.689453125 5.9765625, 101.689453125 6.064453125, 101.77734375 6.064453125, 101.77734375 5.9765625, 101.689453125 5.9765625))
24141876	POLYGON ((101.77734375 5.9765625, 101.77734375 6.064453125, 101.865234375 6.064453125, 101.865234375 5.9765625, 101.77734375 5.9765625))
24141877	POLYGON ((101.865234375 5.9765625, 101.865234375 6.064453125, 101.953125 6.064453125, 101.953125 5.9765625, 101.865234375 5.9765625))
24141920	POLYGON ((101.953125 5.9765625, 101.953125 6.064453125, 102.041015625 6.064453125, 102.041015625 5.9765625, 101.953125 5.9765625))
24130931	POLYGON ((100.986328125 6.064453125, 100.986328125 6.15234375, 101.07421875 6.15234375, 101.07421875 6.064453125, 100.986328125 6.064453125))
24130934	POLYGON ((101.07421875 6.064453125, 101.07421875 6.15234375, 101.162109375 6.15234375, 101.162109375 6.064453125, 101.07421875 6.064453125))
24130935	POLYGON ((101.162109375 6.064453125, 101.162109375 6.15234375, 101.25 6.15234375, 101.25 6.064453125, 101.162109375 6.064453125))
24141858	POLYGON ((101.25 6.064453125, 101.25 6.15234375, 101.337890625 6.15234375, 101.337890625 6.064453125, 101.25 6.064453125))
24141859	POLYGON ((101.337890625 6.064453125, 101.337890625 6.15234375, 101.42578125 6.15234375, 101.42578125 6.064453125, 101.337890625 6.064453125))
24141862	POLYGON ((101.42578125 6.064453125, 101.42578125 6.15234375, 101.513671875 6.15234375, 101.513671875 6.064453125, 101.42578125 6.064453125))
24141863	POLYGON ((101.513671875 6.064453125, 101.513671875 6.15234375, 101.6015625 6.15234375, 101.6015625 6.064453125, 101.513671875 6.064453125))
24141874	POLYGON ((101.6015625 6.064453125, 101.6015625 6.15234375, 101.689453125 6.15234375, 101.689453125 6.064453125, 101.6015625 6.064453125))
24141875	POLYGON ((101.689453125 6.064453125, 101.689453125 6.15234375, 101.77734375 6.15234375, 101.77734375 6.064453125, 101.689453125 6.064453125))
24141878	POLYGON ((101.77734375 6.064453125, 101.77734375 6.15234375, 101.865234375 6.15234375, 101.865234375 6.064453125, 101.77734375 6.064453125))
24141879	POLYGON ((101.865234375 6.064453125, 101.865234375 6.15234375, 101.953125 6.15234375, 101.953125 6.064453125, 101.865234375 6.064453125))
24141922	POLYGON ((101.953125 6.064453125, 101.953125 6.15234375, 102.041015625 6.15234375, 102.041015625 6.064453125, 101.953125 6.064453125))
24141923	POLYGON ((102.041015625 6.064453125, 102.041015625 6.15234375, 102.12890625 6.15234375, 102.12890625 6.064453125, 102.041015625 6.064453125))
24130925	POLYGON ((100.810546875 6.15234375, 100.810546875 6.240234375, 100.8984375 6.240234375, 100.8984375 6.15234375, 100.810546875 6.15234375))
24130936	POLYGON ((100.8984375 6.15234375, 100.8984375 6.240234375, 100.986328125 6.240234375, 100.986328125 6.15234375, 100.8984375 6.15234375))
24130937	POLYGON ((100.986328125 6.15234375, 100.986328125 6.240234375, 101.07421875 6.240234375, 101.07421875 6.15234375, 100.986328125 6.15234375))
24130940	POLYGON ((101.07421875 6.15234375, 101.07421875 6.240234375, 101.162109375 6.240234375, 101.162109375 6.15234375, 101.07421875 6.15234375))
24130941	POLYGON ((101.162109375 6.15234375, 101.162109375 6.240234375, 101.25 6.240234375, 101.25 6.15234375, 101.162109375 6.15234375))
24141864	POLYGON ((101.25 6.15234375, 101.25 6.240234375, 101.337890625 6.240234375, 101.337890625 6.15234375, 101.25 6.15234375))
24141865	POLYGON ((101.337890625 6.15234375, 101.337890625 6.240234375, 101.42578125 6.240234375, 101.42578125 6.15234375, 101.337890625 6.15234375))
