quadkey	wkt
24130755	POLYGON ((99.228515625 6.416015625, 99.228515625 6.50390625, 99.31640625 6.50390625, 99.31640625 6.416015625, 99.228515625 6.416015625))
24130758	POLYGON ((99.31640625 6.416015625, 99.31640625 6.50390625, 99.404296875 6.50390625, 99.404296875 6.416015625, 99.31640625 6.416015625))
24130764	POLYGON ((99.31640625 6.50390625, 99.31640625 6.591796875, 99.404296875 6.591796875, 99.404296875 6.50390625, 99.31640625 6.50390625))
24130765	POLYGON ((99.404296875 6.50390625, 99.404296875 6.591796875, 99.4921875 6.591796875, 99.4921875 6.50390625, 99.404296875 6.50390625))
24130956	POLYGON ((100.01953125 6.50390625, 100.01953125 6.591796875, 100.107421875 6.591796875, 100.107421875 6.50390625, 100.01953125 6.50390625))
24130767	POLYGON ((99.404296875 6.591796875, 99.404296875 6.6796875, 99.4921875 6.6796875, 99.4921875 6.591796875, 99.404296875 6.591796875))
24130778	POLYGON ((99.4921875 6.591796875, 99.4921875 6.6796875, 99.580078125 6.6796875, 99.580078125 6.591796875, 99.4921875 6.591796875))
24130800	POLYGON ((99.4921875 6.6796875, 99.4921875 6.767578125, 99.580078125 6.767578125, 99.580078125 6.6796875, 99.4921875 6.6796875))
24130801	POLYGON ((99.580078125 6.6796875, 99.580078125 6.767578125, 99.66796875 6.767578125, 99.66796875 6.6796875, 99.580078125 6.6796875))
24130803	POLYGON ((99.580078125 6.767578125, 99.580078125 6.85546875, 99.66796875 6.85546875, 99.66796875 6.767578125, 99.580078125 6.767578125))
24130806	POLYGON ((99.66796875 6.767578125, 99.66796875 6.85546875, 99.755859375 6.85546875, 99.755859375 6.767578125, 99.66796875 6.767578125))
24130812	POLYGON ((99.66796875 6.85546875, 99.66796875 6.943359375, 99.755859375 6.943359375, 99.755859375 6.85546875, 99.66796875 6.85546875))
24131153	POLYGON ((99.580078125 7.03125, 99.580078125 7.119140625, 99.66796875 7.119140625, 99.66796875 7.03125, 99.580078125 7.03125))
24131155	POLYGON ((99.580078125 7.119140625, 99.580078125 7.20703125, 99.66796875 7.20703125, 99.66796875 7.119140625, 99.580078125 7.119140625))
24131394	POLYGON ((100.546875 7.119140625, 100.546875 7.20703125, 100.634765625 7.20703125, 100.634765625 7.119140625, 100.546875 7.119140625))
24131148	POLYGON ((99.31640625 7.20703125, 99.31640625 7.294921875, 99.404296875 7.294921875, 99.404296875 7.20703125, 99.31640625 7.20703125))
24131400	POLYGON ((100.546875 7.20703125, 100.546875 7.294921875, 100.634765625 7.294921875, 100.634765625 7.20703125, 100.546875 7.20703125))
24131147	POLYGON ((99.228515625 7.294921875, 99.228515625 7.3828125, 99.31640625 7.3828125, 99.31640625 7.294921875, 99.228515625 7.294921875))
